Magnolia 5 UI,Magnolia 6 UI,Tests,Conversion support,Conversion test
info.magnolia.ui.framework.action.OpenExportDialogActionDefinition,info.magnolia.ui.dialog.actions.OpenDialogActionDefinition (openDialogAction),,,"
"
info.magnolia.ui.framework.action.OpenLocationActionDefinition,info.magnolia.ui.contentapp.action.OpenLocationActionDefinition (-),"OpenLocationActionTest
",,"
"
info.magnolia.ui.framework.action.ZipUploadActionDefinition,No direct replacement,,,"
"
,,,,
DialogDefinition,,,,
info.magnolia.ui.dialog.definition.ChooseDialogDefinition,info.magnolia.ui.chooser.definition.ChooserDefinition (-),,,"
"
info.magnolia.ui.dialog.definition.ConfiguredChooseDialogDefinition,info.magnolia.ui.chooser.definition.ChooserDefinition (-),,,"
"
info.magnolia.ui.dialog.definition.ConfiguredDialogDefinition,info.magnolia.ui.dialog.ConfiguredDialogDefinition (-),,,"
"
info.magnolia.ui.dialog.definition.ConfiguredFormDialogDefinition,info.magnolia.ui.dialog.ConfiguredDialogDefinition (-),,,"
"
info.magnolia.ui.dialog.definition.FormDialogDefinition,info.magnolia.ui.dialog.FormDialogDefinition (-),,,"
"
